review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,25,2192.1,Deep Fried Candy Bars,unverified,false,-93.1720944,44.9799665388,North side of Carnes Ave. between Nelson & Underwood streets,,112.3,,large_change_from_baseline|no_independent_verification
medium,25,2198.1,Demetri's Fine Greek Foods,unverified,false,-93.1717027711,44.9811464,East side of Nelson St. between Dan Patch & Carnes avenues,,131.5,,large_change_from_baseline|no_independent_verification
medium,25,2208.1,Dippin' Dots,unverified,false,-93.1705436,44.9798107612,South side of Carnes Ave. between Nelson & Underwood streets,,73.6,,large_change_from_baseline|no_independent_verification
medium,25,10312.2,El Burrito Mercado,unverified,false,-93.1689079927,44.97799,"At the International Bazaar, south wall",,144.5,,large_change_from_baseline|no_independent_verification
medium,25,2279.1,Falafel King,unverified,false,-93.1698500927,44.9801137,"In the Food Building, south wall",,113.1,,large_change_from_baseline|no_independent_verification
medium,25,2305.1,Fish & Chips Seafood Shoppe,unverified,false,-93.1701043677,44.9807636,"In the Food Building, northwest section",,161.8,,large_change_from_baseline|no_independent_verification
medium,25,2332.1,French Crêperie,unverified,false,-93.1720684315,44.979966641,North side of Carnes Ave. between Nelson & Underwood streets,,92.6,,large_change_from_baseline|no_independent_verification
medium,25,2387.1,Fresh Lemonade - Cheese on a Stick,unverified,false,-93.1719316289,44.9811464,West side of Nelson St. between Dan Patch & Carnes avenues,,90.3,,large_change_from_baseline|no_independent_verification
medium,25,2029.2,Funnel Cakes,unverified,false,-93.1708435804,44.9784915791,"South side of Judson Ave. between Nelson & Underwood streets, at Adventure Park",,83.4,,large_change_from_baseline|no_independent_verification
medium,25,2247.1,Funnel Cakes,unverified,false,-93.1704753427,44.9812055388,North side of Dan Patch Ave. between Nelson & Underwood streets,,112.9,,large_change_from_baseline|no_independent_verification
medium,25,2359.1,Funnel Cakes,unverified,false,-93.1694229107,44.9805211,"In the Food Building, east wall",,114.4,,large_change_from_baseline|no_independent_verification
medium,25,3255.1,German Root Beer and Popcorn,unverified,false,-93.1742269973,44.9800221197,East of Chambers St. just south of the Grandstand,,74.1,,large_change_from_baseline|no_independent_verification
medium,25,2527.1,Goertzes Dairy Kone,unverified,false,-93.168621988,44.980762,"East side of Cooper St., next to the Merch Market",,113.5,,large_change_from_baseline|no_independent_verification
medium,25,10990.1,Gopher Dairy Bar,unverified,false,-93.1753553,44.9784880612,South side of Judson Ave. between Stevens & Liggett streets,,96.1,,large_change_from_baseline|no_independent_verification
medium,25,2415.1,Grandstand Mini Donuts,unverified,false,-93.1742625711,44.9806069612,"East of Chambers St., just south of the Grandstand",,51.9,,large_change_from_baseline|no_independent_verification
medium,25,2417.1,Granny's Cheesecake & More,unverified,false,-93.1705262,44.9812415116,North side of Dan Patch Ave. between Nelson & Underwood streets,,79.5,,large_change_from_baseline|no_independent_verification
medium,25,2493.1,Henry's Kettle Korn,unverified,false,-93.168983431,44.9847700149,"East side of Cooper St. between Lee & Randall avenues, at The North Woods",,80.1,,large_change_from_baseline|no_independent_verification
medium,25,3689.1,Holy Land,unverified,false,-93.16852394,44.97799,"At the International Bazaar, southeast corner",,126.7,,large_change_from_baseline|no_independent_verification
medium,25,2196.2,Ice Cold Root Beer,unverified,false,-93.1720368711,44.9785924,East side of Nelson St. between Carnes & Judson avenues,,70.3,,large_change_from_baseline|no_independent_verification
medium,25,13242.1,Iemochi Japanese Confections,unverified,false,-93.1689842786,44.9779588466,"At the International Bazaar, south wall",,106.1,,large_change_from_baseline|no_independent_verification
medium,25,2604.1,Juanita's Fajitas,unverified,false,-93.1722740144,44.9804592321,"West of Nelson St., just south of the Grandstand",,139.3,,large_change_from_baseline|no_independent_verification
