review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,45,3450.1,The Hangar,unverified,false,-93.171539545209,44.988320426545,"On the northeast corner of Underwood St. and Murphy Ave., at the North End",,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,40,10093.1,Giggles' Campfire Grill,verified,true,-93.1688586,44.9856224,Southeast corner of Lee Ave. & Cooper St. at The North Woods,,111.4,0.0,written_street_corridor_conflict|large_change_from_baseline
medium,25,12742.1,1919 Root Beer,unverified,false,-93.168967967949,44.981847907836,Southeast corner of Dan Patch Ave. & Underwood St. outside The Garden,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,9642.1,About a Foot Long Hot Dog,unverified,false,-93.168036,44.9839827,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,2551-2787,126.3,,large_change_from_baseline|no_independent_verification
medium,25,9642.2,About a Foot Long Hot Dog,unverified,false,-93.1693751,44.9814141,Northwest corner of Dan Patch Ave. & Cooper St.,1908-2548,236.3,,large_change_from_baseline|no_independent_verification
medium,25,2770.1,All You Can Drink Milk,unverified,false,-93.173971454487,44.979107166116,Northeast corner of Judson Ave. & Clough St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5937.1,Attavio's Fries,unverified,false,-93.17051655641,44.979407802061,"West side of Cooper St. between Dan Patch and Judson avenues, outside the Food Building",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,11830.1,Beans & Beignets,unverified,false,-93.173685963462,44.978813280576,Northwest corner of Judson Ave. & Clough St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1509.3,Bratwurst,unverified,false,-93.1722972,44.9800237,Northwest corner of Carnes Ave. & Nelson St.,1539-1982,120.6,,large_change_from_baseline|no_independent_verification
medium,25,5733.1,Bridge N' Barrel Root Beer,unverified,false,-93.171136,44.9814214,North side of Dan Patch Ave. between Nelson & Underwood streets,1893-2198,272.5,,large_change_from_baseline|no_independent_verification
medium,25,5733.2,Bridge N' Barrel Root Beer,unverified,false,-93.1706802,44.9799609,Northwest corner of Carnes Ave. & Underwood St.,1539-2304,132.1,,large_change_from_baseline|no_independent_verification
medium,25,5733.3,Bridge N' Barrel Root Beer,unverified,false,-93.168141730769,44.982909562123,Northwest corner of Wright Ave. & Cooper St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5733.5,Bridge N' Barrel Root Beer,unverified,false,-93.171398589771,44.983942720834,Northwest corner of Randall & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5733.6,Bridge N' Barrel Root Beer,unverified,false,-93.169590286555,44.982020565743,Northeast corner of Dan Patch Ave & Cosgrove St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2005.1,Buni's,unverified,false,-93.176384548397,44.978368700251,Northwest corner of Judson Ave. & Liggett St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,10014.1,Butcher Boys,unverified,false,-93.175614425979,44.980217873197,West side of Liggett St. between Carnes & West Dan Patch avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,227.1,Butcher Boys,unverified,false,-93.170865162821,44.980902605354,North side of Dan Patch Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2021.1,Cafe Caribe,unverified,false,-93.172895758013,44.979089804023,South side of Carnes Ave. between Chambers & Clough streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2031.1,Caramel Apple Sundae,unverified,false,-93.172400400641,44.980110476679,"Between Chambers & Nelson streets, just south of the Grandstand",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2037.1,Caribbean Smoothees,unverified,false,-93.176388092182,44.980162381258,West side of Liggett St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2065.1,Chan's Chicken On A Stick,unverified,false,-93.172807362179,44.979175037267,South side of Judson Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,9238.1,Chan's Eatery,unverified,false,-93.16901814359,44.986844015281,East side of Underwood St. between Murphy & Lee avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2084.1,CinnieSmiths,unverified,false,-93.1695298,44.9870282,South side of Murphy Ave. between Underwood & Cooper streets,3284-2458,146.2,,large_change_from_baseline|no_independent_verification
medium,25,2069.2,Crutchees Cheese on a Stick,unverified,false,-93.175980161316,44.981387688534,southeast corner of West Dan Patch Ave. & Liggett St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2182.1,Daryl's Dog House,unverified,false,-93.171560717949,44.980462900382,South side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2192.1,Deep Fried Candy Bars,unverified,false,-93.172484179487,44.980938483764,North side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2208.1,Dippin' Dots,unverified,false,-93.170275034615,44.980444590965,South side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,265.1,Duke's Poutine,unverified,false,-93.173338053846,44.978715784173,North side of Judson Ave. between Clough & Nelson streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,226.1,El Sol Mexican Foods,unverified,false,-93.170978671795,44.981205840041,"East side of Underwood St. between Dan Patch & Carnes avenues, outside southwest corner of the Food Building",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,4752.1,Fluffy's Hand Cut Donuts,unverified,false,-93.174634248077,44.980018690647,On the northwest corner of Carnes Ave. & Chambers St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2332.1,French Crêperie,unverified,false,-93.172062521795,44.979134014141,North side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2336.1,French Meadow Bakery & Cafe,unverified,false,-93.171785124281,44.979084798263,North side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
